Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
"Категории/Витамины и минералы";4129;"Omega-3 Double Strenght 1200mg";4129;ВИТ-021232;шт;400;руб;;;;;;;"Double Strength Omega-3 Fish Oil – это биологически активный продукт, дающий максимальную пользу от жирных кислот!";;;;;нет;0;0
"Категории/Для суставов и связок";4130;"Glucosamine Chondroitine MSM";4130;СС-021233;шт;0;руб;;;;;;;"Пищевая добавка Double Strength Glucosamine, Chondroitin & MSM Joint Soother – биологически активный продукт, чья задача – обеспечить гибкость, прочность и здоровье хрящей и связок. Комплекс необходим спортсменам и физически активным людям для более качественного уровня тренировок.";;;;;нет;0;0
"Категории/Для суставов и связок";4131;"Glucosamine Chondroitine MSM";4131;СС-021235;шт;0;руб;;;;;;;"Пищевая добавка Triple Strength Glucosamine, Chondroitin & MSM Joint Soother – биологический активный комплекс, созданный для гибкости, прочности и здоровья хрящей и связок. Незаменимый комплекс для всех, кто подвергает суставы тяжелым нагрузкам и проводит большую часть дня в движении.";;;;;нет;0;0
Категории/BCAA;4132;"BCAA Drive Black";4132;КР-021236;шт;0;руб;;;;;;;;;;;;нет;0;0
Категории/Креатин;4134;Creatine;4134;АК-021237;шт;250;руб;;;;;;;"Universal Creatine – 100% чистый креатина моногидрат в микронизированной форме. Чистейший продукт для качественной силы и выносливости каждый день! Вместе с Creatine за 6-8 недель можно на 20-30% увеличить мускулатуру с чистым весом!";;;;;нет;0;0
"Категории/Специальные добавки";4135;"HMB elite";4135;BCA-021238;шт;375;руб;;;;;;;;;;;;нет;0;0
Категории/Креатин;4136;"Creatine powder";4136;КР-021239;шт;1175;руб;;;;;;;;;;;;нет;0;0
"Категории/Витамины и минералы";4137;"Multi active formula";4137;ВИТ-021240;шт;0;руб;;;;;;;;;;;;нет;0;0
Категории/Аминокислоты;4138;AAKG;4138;АМ-021241;шт;350;руб;;;;;;;"Аминокислотный комплекс Real Pharm AAKG – одна из наиболее эффективных форм аргинина: Альфа-Кето-Глутарат. Мощный рост мышц обеспечен!";;;;;нет;0;0
Категории/Аминокислоты;4139;"AAKG  1250 mega caps";4139;АМ-021242;шт;425;руб;;;;;;;"Аминокислотный комплекс AAKG Extreme Mega – это матрица, созданная специально для набора «чистой» мышечной массы, повышения мощи и выносливости мускулатуры. Высококонцентрированный и чистый источник необходимой аминокислоты!";;;;;нет;0;0
